2021-09-19 08:59:09,573 - walk - INFO - (sp mode) 第 317 号筛选条件(类别2), 条件范围(11:20:50~11:20:51), 耗时 0.0 秒, 筛选结果为 0 条数据
2021-09-19 08:59:09,584 - walk - INFO - (sp mode) 第 319 号筛选条件(类别2), 条件范围(11:20:56~11:20:59), 耗时 0.0 秒, 筛选结果为 0 条数据
2021-09-19 08:59:09,616 - walk - INFO - (sp mode) 第 323 号筛选条件(类别2), 条件范围(11:22:09~11:22:14), 耗时 0.0 秒, 筛选结果为 0 条数据
2021-09-19 08:59:09,627 - walk - INFO - (sp mode) 第 325 号筛选条件(类别2), 条件范围(11:22:18~11:22:21), 耗时 0.0 秒, 筛选结果为 0 条数据
2021-09-19 08:59:09,648 - walk - INFO - (sp mode) 第 327 号筛选条件(类别2), 条件范围(11:22:37~11:22:38), 耗时 0.0 秒, 筛选结果为 0 条数据
2021-09-19 08:59:09,659 - walk - INFO - (sp mode) 第 329 号筛选条件(类别2), 条件范围(11:22:53~11:22:57), 耗时 0.0 秒, 筛选结果为 0 条数据
2021-09-19 08:59:09,670 - walk - INFO - (sp mode) 第 331 号筛选条件(类别2), 条件范围(11:23:06~11:23:08), 耗时 0.0 秒, 筛选结果为 0 条数据
2021-09-19 08:59:09,677 - walk - INFO - (sp mode) 第 333 号筛选条件(类别2), 条件范围(11:25:04~11:25:06), 耗时 0.0 秒, 筛选结果为 0 条数据
2021-09-19 08:59:09,688 - walk - INFO - (sp mode) 第 335 号筛选条件(类别2), 条件范围(11:25:17~11:25:24), 耗时 0.0 秒, 筛选结果为 0 条数据
2021-09-19 08:59:09,698 - walk - INFO - (sp mode) 第 337 号筛选条件(类别2), 条件范围(11:25:35~11:25:36), 耗时 0.0 秒, 筛选结果为 0 条数据
2021-09-19 08:59:09,703 - walk - INFO - (sp mode) 第 338 号筛选条件(类别2), 条件范围(11:25:41~11:25:44), 耗时 0.0 秒, 筛选结果为 0 条数据
2021-09-19 08:59:09,711 - walk - INFO - (sp mode) 第 340 号筛选条件(类别2), 条件范围(11:26:11~11:26:16), 耗时 0.0 秒, 筛选结果为 0 条数据
2021-09-19 08:59:09,724 - walk - INFO - (sp mode) 第 342 号筛选条件(类别2), 条件范围(11:27:02~11:27:05), 耗时 0.0 秒, 筛选结果为 0 条数据
2021-09-19 08:59:09,732 - walk - INFO - (sp mode) 第 344 号筛选条件(类别2), 条件范围(11:27:08~11:27:09), 耗时 0.0 秒, 筛选结果为 0 条数据
2021-09-19 08:59:09,738 - walk - INFO - (sp mode) 第 346 号筛选条件(类别2), 条件范围(11:27:17~11:27:21), 耗时 0.0 秒, 筛选结果为 0 条数据
2021-09-19 08:59:09,745 - walk - INFO - (sp mode) 第 348 号筛选条件(类别2), 条件范围(11:27:57~11:27:58), 耗时 0.0 秒, 筛选结果为 0 条数据
2021-09-19 08:59:09,756 - walk - INFO - (sp mode) 第 350 号筛选条件(类别2), 条件范围(11:28:04~11:28:11), 耗时 0.0 秒, 筛选结果为 0 条数据
2021-09-19 08:59:09,766 - walk - INFO - (sp mode) 第 352 号筛选条件(类别2), 条件范围(11:28:22~11:28:25), 耗时 0.0 秒, 筛选结果为 0 条数据
2021-09-19 08:59:09,775 - walk - INFO - (sp mode) 第 354 号筛选条件(类别2), 条件范围(11:29:24~11:29:26), 耗时 0.0 秒, 筛选结果为 0 条数据
2021-09-19 08:59:09,783 - walk - INFO - (sp mode) 第 356 号筛选条件(类别2), 条件范围(11:29:34~11:29:43), 耗时 0.0 秒, 筛选结果为 0 条数据
2021-09-19 08:59:09,790 - walk - INFO - (sp mode) 第 358 号筛选条件(类别2), 条件范围(11:30:07~11:30:08), 耗时 0.0 秒, 筛选结果为 0 条数据
2021-09-19 08:59:09,800 - walk - INFO - (sp mode) 第 361 号筛选条件(类别2), 条件范围(11:34:05~11:34:07), 耗时 0.0 秒, 筛选结果为 0 条数据
2021-09-19 08:59:09,803 - walk - INFO - (sp mode) 第 362 号筛选条件(类别2), 条件范围(11:34:11~11:34:13), 耗时 0.0 秒, 筛选结果为 0 条数据
2021-09-19 08:59:09,812 - walk - INFO - (sp mode) 第 365 号筛选条件(类别2), 条件范围(11:36:05~11:36:08), 耗时 0.0 秒, 筛选结果为 0 条数据
2021-09-19 08:59:09,824 - walk - INFO - (sp mode) 第 370 号筛选条件(类别2), 条件范围(11:38:53~11:38:58), 耗时 0.0 秒, 筛选结果为 0 条数据
2021-09-19 08:59:09,831 - walk - INFO - (sp mode) 第 372 号筛选条件(类别2), 条件范围(11:40:44~11:40:45), 耗时 0.0 秒, 筛选结果为 0 条数据
2021-09-19 08:59:09,837 - walk - INFO - (sp mode) 第 374 号筛选条件(类别2), 条件范围(11:40:48~11:40:53), 耗时 0.0 秒, 筛选结果为 0 条数据
2021-09-19 08:59:09,842 - walk - INFO - (sp mode) 第 376 号筛选条件(类别2), 条件范围(11:44:03~11:44:13), 耗时 0.0 秒, 筛选结果为 0 条数据
