2021-09-18 22:45:40,301 - static - INFO - 
2021-09-18 22:51:15,413 - static - INFO - 
2021-09-18 22:52:41,252 - static - INFO - 
2021-09-18 22:53:07,489 - static - INFO - 
2021-09-18 22:55:07,720 - static - INFO - (sp mode) 第 597 号筛选条件(类别1), 条件范围(16:05:20~16:05:23), 耗时 0.0 秒, 筛选结果为 0 条数据
2021-09-18 22:55:07,724 - static - INFO - (sp mode) 第 599 号筛选条件(类别1), 条件范围(16:05:30~16:05:47), 耗时 0.0 秒, 筛选结果为 0 条数据
2021-09-18 22:55:07,727 - static - INFO - (sp mode) 第 601 号筛选条件(类别1), 条件范围(16:05:55~16:06:10), 耗时 0.0 秒, 筛选结果为 0 条数据
2021-09-18 22:55:07,731 - static - INFO - (sp mode) 第 603 号筛选条件(类别1), 条件范围(16:06:15~16:06:20), 耗时 0.0 秒, 筛选结果为 0 条数据
2021-09-18 22:55:07,735 - static - INFO - (sp mode) 第 605 号筛选条件(类别1), 条件范围(16:06:25~16:07:09), 耗时 0.0 秒, 筛选结果为 0 条数据
2021-09-18 22:55:07,739 - static - INFO - (sp mode) 第 607 号筛选条件(类别1), 条件范围(16:07:14~16:07:18), 耗时 0.0 秒, 筛选结果为 0 条数据
2021-09-18 22:55:07,743 - static - INFO - (sp mode) 第 609 号筛选条件(类别1), 条件范围(16:07:28~16:07:31), 耗时 0.0 秒, 筛选结果为 0 条数据
2021-09-18 22:55:07,748 - static - INFO - (sp mode) 第 612 号筛选条件(类别1), 条件范围(16:07:49~16:07:55), 耗时 0.0 秒, 筛选结果为 0 条数据
2021-09-18 22:55:07,750 - static - INFO - (sp mode) 第 614 号筛选条件(类别1), 条件范围(16:09:18~16:09:29), 耗时 0.0 秒, 筛选结果为 0 条数据
2021-09-18 22:55:07,754 - static - INFO - (sp mode) 第 616 号筛选条件(类别1), 条件范围(16:09:33~16:10:03), 耗时 0.0 秒, 筛选结果为 0 条数据
2021-09-18 22:55:07,759 - static - INFO - (sp mode) 第 619 号筛选条件(类别1), 条件范围(16:10:11~16:10:52), 耗时 0.0 秒, 筛选结果为 0 条数据
2021-09-18 22:55:07,764 - static - INFO - (sp mode) 第 622 号筛选条件(类别1), 条件范围(16:11:07~16:11:09), 耗时 0.0 秒, 筛选结果为 0 条数据
2021-09-18 22:55:07,768 - static - INFO - (sp mode) 第 624 号筛选条件(类别1), 条件范围(16:11:14~16:11:18), 耗时 0.0 秒, 筛选结果为 0 条数据
2021-09-18 22:55:07,774 - static - INFO - (sp mode) 第 626 号筛选条件(类别1), 条件范围(16:11:23~16:11:34), 耗时 0.0 秒, 筛选结果为 0 条数据
2021-09-18 22:55:07,779 - static - INFO - (sp mode) 第 628 号筛选条件(类别1), 条件范围(16:11:40~16:11:42), 耗时 0.0 秒, 筛选结果为 0 条数据
