2021-09-18 22:45:40,301 - log - INFO - 
2021-09-18 22:51:15,412 - log - INFO - 
2021-09-18 22:52:41,249 - log - INFO - 
2021-09-18 22:53:07,488 - log - INFO - 
2021-09-18 22:55:07,438 - log - INFO - (sp mode) 第 501 号筛选条件(类别1, 条件范围(15:33:00~15:33:12)), 耗时 0.0 秒, 筛选结果为 0 条数据
2021-09-18 22:55:07,441 - log - INFO - (sp mode) 第 502 号筛选条件(类别1, 条件范围(15:33:14~15:33:22)), 耗时 0.0 秒, 筛选结果为 0 条数据
2021-09-18 22:55:07,444 - log - INFO - (sp mode) 第 503 号筛选条件(类别2, 条件范围(15:33:23~15:33:30)), 耗时 0.0 秒, 筛选结果为 0 条数据
2021-09-18 22:55:07,447 - log - INFO - (sp mode) 第 504 号筛选条件(类别3, 条件范围(15:33:38~15:33:44)), 耗时 0.0 秒, 筛选结果为 0 条数据
2021-09-18 22:55:07,450 - log - INFO - (sp mode) 第 505 号筛选条件(类别3, 条件范围(15:33:49~15:34:06)), 耗时 0.0 秒, 筛选结果为 0 条数据
2021-09-18 22:55:07,452 - log - INFO - (sp mode) 第 506 号筛选条件(类别1, 条件范围(15:34:08~15:34:15)), 耗时 0.0 秒, 筛选结果为 0 条数据
2021-09-18 22:55:07,455 - log - INFO - (sp mode) 第 507 号筛选条件(类别2, 条件范围(15:34:16~15:34:18)), 耗时 0.0 秒, 筛选结果为 0 条数据
2021-09-18 22:55:07,458 - log - INFO - (sp mode) 第 508 号筛选条件(类别1, 条件范围(15:34:19~15:34:21)), 耗时 0.0 秒, 筛选结果为 0 条数据
2021-09-18 22:55:07,462 - log - INFO - (sp mode) 第 509 号筛选条件(类别2, 条件范围(15:34:22~15:34:26)), 耗时 0.0 秒, 筛选结果为 0 条数据
2021-09-18 22:55:07,465 - log - INFO - (sp mode) 第 510 号筛选条件(类别1, 条件范围(15:34:27~15:34:48)), 耗时 0.0 秒, 筛选结果为 0 条数据
2021-09-18 22:55:07,468 - log - INFO - (sp mode) 第 511 号筛选条件(类别1, 条件范围(15:34:50~15:34:54)), 耗时 0.0 秒, 筛选结果为 0 条数据
2021-09-18 22:55:07,471 - log - INFO - (sp mode) 第 512 号筛选条件(类别2, 条件范围(15:34:55~15:34:57)), 耗时 0.0 秒, 筛选结果为 0 条数据
2021-09-18 22:55:07,474 - log - INFO - (sp mode) 第 513 号筛选条件(类别1, 条件范围(15:34:58~15:35:03)), 耗时 0.0 秒, 筛选结果为 0 条数据
2021-09-18 22:55:07,477 - log - INFO - (sp mode) 第 514 号筛选条件(类别1, 条件范围(15:35:05~15:35:11)), 耗时 0.0 秒, 筛选结果为 0 条数据
2021-09-18 22:55:07,480 - log - INFO - (sp mode) 第 515 号筛选条件(类别1, 条件范围(15:35:14~15:35:22)), 耗时 0.0 秒, 筛选结果为 0 条数据
2021-09-18 22:55:07,483 - log - INFO - (sp mode) 第 516 号筛选条件(类别2, 条件范围(15:35:23~15:35:24)), 耗时 0.0 秒, 筛选结果为 0 条数据
2021-09-18 22:55:07,486 - log - INFO - (sp mode) 第 517 号筛选条件(类别1, 条件范围(15:35:25~15:36:04)), 耗时 0.0 秒, 筛选结果为 0 条数据
2021-09-18 22:55:07,489 - log - INFO - (sp mode) 第 518 号筛选条件(类别1, 条件范围(15:36:12~15:36:36)), 耗时 0.0 秒, 筛选结果为 0 条数据
2021-09-18 22:55:07,492 - log - INFO - (sp mode) 第 519 号筛选条件(类别2, 条件范围(15:36:37~15:36:39)), 耗时 0.0 秒, 筛选结果为 0 条数据
2021-09-18 22:55:07,494 - log - INFO - (sp mode) 第 520 号筛选条件(类别1, 条件范围(15:36:40~15:37:00)), 耗时 0.0 秒, 筛选结果为 0 条数据
2021-09-18 22:55:07,497 - log - INFO - (sp mode) 第 521 号筛选条件(类别2, 条件范围(15:37:02~15:37:03)), 耗时 0.0 秒, 筛选结果为 0 条数据
2021-09-18 22:55:07,500 - log - INFO - (sp mode) 第 522 号筛选条件(类别1, 条件范围(15:37:04~15:38:00)), 耗时 0.0 秒, 筛选结果为 0 条数据
2021-09-18 22:55:07,503 - log - INFO - (sp mode) 第 523 号筛选条件(类别1, 条件范围(15:38:02~15:38:03)), 耗时 0.0 秒, 筛选结果为 0 条数据
2021-09-18 22:55:07,506 - log - INFO - (sp mode) 第 524 号筛选条件(类别1, 条件范围(15:38:07~15:38:12)), 耗时 0.0 秒, 筛选结果为 0 条数据
2021-09-18 22:55:07,509 - log - INFO - (sp mode) 第 525 号筛选条件(类别2, 条件范围(15:38:13~15:38:18)), 耗时 0.0 秒, 筛选结果为 0 条数据
2021-09-18 22:55:07,512 - log - INFO - (sp mode) 第 526 号筛选条件(类别3, 条件范围(15:38:20~15:38:21)), 耗时 0.0 秒, 筛选结果为 0 条数据
2021-09-18 22:55:07,515 - log - INFO - (sp mode) 第 527 号筛选条件(类别1, 条件范围(15:38:29~15:39:32)), 耗时 0.0 秒, 筛选结果为 0 条数据
2021-09-18 22:55:07,518 - log - INFO - (sp mode) 第 528 号筛选条件(类别2, 条件范围(15:39:34~15:39:36)), 耗时 0.0 秒, 筛选结果为 0 条数据
2021-09-18 22:55:07,521 - log - INFO - (sp mode) 第 529 号筛选条件(类别1, 条件范围(15:39:46~15:39:49)), 耗时 0.0 秒, 筛选结果为 0 条数据
2021-09-18 22:55:07,524 - log - INFO - (sp mode) 第 530 号筛选条件(类别2, 条件范围(15:39:50~15:39:54)), 耗时 0.0 秒, 筛选结果为 0 条数据
2021-09-18 22:55:07,527 - log - INFO - (sp mode) 第 531 号筛选条件(类别2, 条件范围(15:39:55~15:39:59)), 耗时 0.0 秒, 筛选结果为 0 条数据
2021-09-18 22:55:07,531 - log - INFO - (sp mode) 第 533 号筛选条件(类别2, 条件范围(15:40:49~15:40:53)), 耗时 0.0 秒, 筛选结果为 0 条数据
2021-09-18 22:55:07,534 - log - INFO - (sp mode) 第 534 号筛选条件(类别1, 条件范围(15:40:54~15:41:47)), 耗时 0.0 秒, 筛选结果为 0 条数据
2021-09-18 22:55:07,537 - log - INFO - (sp mode) 第 535 号筛选条件(类别2, 条件范围(15:41:48~15:41:56)), 耗时 0.0 秒, 筛选结果为 0 条数据
2021-09-18 22:55:07,540 - log - INFO - (sp mode) 第 536 号筛选条件(类别1, 条件范围(15:41:58~15:42:07)), 耗时 0.0 秒, 筛选结果为 0 条数据
2021-09-18 22:55:07,543 - log - INFO - (sp mode) 第 537 号筛选条件(类别2, 条件范围(15:42:09~15:42:10)), 耗时 0.0 秒, 筛选结果为 0 条数据
2021-09-18 22:55:07,546 - log - INFO - (sp mode) 第 538 号筛选条件(类别1, 条件范围(15:42:11~15:42:53)), 耗时 0.0 秒, 筛选结果为 0 条数据
2021-09-18 22:55:07,549 - log - INFO - (sp mode) 第 539 号筛选条件(类别2, 条件范围(15:42:54~15:42:59)), 耗时 0.0 秒, 筛选结果为 0 条数据
2021-09-18 22:55:07,552 - log - INFO - (sp mode) 第 540 号筛选条件(类别1, 条件范围(15:43:00~15:43:18)), 耗时 0.0 秒, 筛选结果为 0 条数据
2021-09-18 22:55:07,554 - log - INFO - (sp mode) 第 541 号筛选条件(类别1, 条件范围(15:43:21~15:43:51)), 耗时 0.0 秒, 筛选结果为 0 条数据
2021-09-18 22:55:07,557 - log - INFO - (sp mode) 第 542 号筛选条件(类别1, 条件范围(15:43:53~15:43:57)), 耗时 0.0 秒, 筛选结果为 0 条数据
2021-09-18 22:55:07,560 - log - INFO - (sp mode) 第 543 号筛选条件(类别1, 条件范围(15:43:58~15:44:09)), 耗时 0.0 秒, 筛选结果为 0 条数据
2021-09-18 22:55:07,563 - log - INFO - (sp mode) 第 544 号筛选条件(类别3, 条件范围(15:44:18~15:44:20)), 耗时 0.0 秒, 筛选结果为 0 条数据
2021-09-18 22:55:07,566 - log - INFO - (sp mode) 第 545 号筛选条件(类别1, 条件范围(15:44:21~15:44:22)), 耗时 0.0 秒, 筛选结果为 0 条数据
